start_time_sec,end_time_sec,annotation
215.199,216.3,Men vad tycker du
234.199,237.3,Ja i det här försöket var det första dejten
237.599,241.699,Och då tror jag att det kan kännas väldigt konstigt
243.3,247.8,Men det beror också på vad man vill få ut av det här
248.3,251.9,Om det är en person som du vill dejta seriöst
252.099,257.6,Och om man vill leva hela sitt liv med
257.899,260.3,Så är det mer förståeligt
260.6,264.199,Men i och med att man knappt känner varandra
264.399,265.8,Vid dejting över stället
266.0,269.199,Så tror jag att det kan upplevas som väldigt konstigt
269.699,270.199,ocks
270.699,272.8,Det är kränkande på något sätt
273.1,275.0,Att bli bortvald
275.399,278.6,om man misslyckas med de här testerna
290.699,291.1,Ja
297.199,298.8,Ja definitivt
299.199,299.8,Mm
300.199,304.399,Samtidigt så tror jag att det skulle kunna kännas väldigt konstigt
304.699,307.1,Att ställa en sådan
307.3,308.699,Person i fråga
309.1,311.6,Innan man ens har träffats på första gången
311.8,315.699,Jag tror att väldigt många hade inte tyckt om att få den frågan
316.199,320.199,Att göra testning skulle kunna göra det
320.5,321.6,Mindre
322.0,325.399,mindre känsligt och mindre personligt på något sätt
325.699,329.1,Då behöver du bara lämna testet till ett labb
329.399,333.1,Så är det de som gör det och inte du som behöver
333.6,335.699,Berätta det personligen
336.399,341.199,Men jag ser också att det skulle bero väldigt mycket på de normer
341.399,343.5,som finns i vårt samhälle idag
345.899,350.1,Nu så är det inte alls vanligt att man gör på det sättet
350.5,352.5,Men om det blir mer
352.699,361.6,accepterat och vanligare att göra genetisk testning i framtiden så tror jag att de sociala normerna kring det kan skifta väldigt snabbt
369.6,378.1,Jag tänker att nu så skulle den frågan upplevas som obehaglig och som konstig
378.3,379.6,Av många människor
379.899,382.0,just för att man är
382.199,384.199,Den enda som ställer den frågan
384.399,387.3,Och ingen som de har träffat förut skulle göra likadant
387.699,393.1,Om det blev betydligt vanligare i samhället att göra genetisk testning
393.3,394.8,Så tror jag att det skulle bli
395.1,397.399,Mer normaliserat
397.699,401.199,Ingen skulle reagera på det på samma sätt
402.0,407.5,Till exempel under covidpandemin så var det väldigt vanligt att man
407.699,411.6,Gjorde covidtester innan man skulle träffa andra människor
411.8,413.5,För att undvika att smitta dem
414.1,416.3,Och då ansågs det vara
416.6,421.0,Det är bra att göra det av respekt för den andra människan
421.199,423.899,För att undvika att svikta dem oavsiktligt
424.199,427.899,Jag tror att man skulle kunna dra en parallell till gentestning
428.3,430.899,Det man också vill undvika är att
431.1,432.3,Sprida vidare
432.699,433.1,Eh
433.3,438.699,genetiska sjukdomar till sina barn ifall det hade gått att testa för det och undvika det
443.6,445.8,Samtidigt så
446.5,449.5,Man skulle kunna dra paralleller
449.699,454.8,Till rasbiologi eller liknande betydligt mer kontroversiella
455.0,459.899,och ofta direkt rasistiska och ovetenskapliga teorier
460.199,461.1,bäre
461.199,464.899,nazister och andra extremistiska grupper
465.1,472.399,Utan det är om att det finns några undermänniskor och övermänniskor eller liknande grupperingar
472.699,477.1,Och försökte att skapa en renare ras
478.3,481.199,Väldigt o
481.5,484.0,ovetenstaplöja och bodyckargrunder
484.5,486.8,Dock de som är emot försöket
487.0,488.3,Skulle kunna
488.5,490.399,Är det då liknande så här
490.6,494.399,Mellan rasbiologi eller mellan nazism
494.699,497.1,Okej den sortens gentestning
497.399,501.399,Men jag tror att det är väldigt stor skillnad på det
505.899,506.5,Ni
507.5,510.8,Det är också skillnad på vad det är
511.0,513.0,Man försöker åstadkomma
513.399,514.6,för att
514.799,517.299,Så länge det är frivilligt
517.5,518.899,Att vara med på det
519.299,522.899,tror jag att det är en helt annan sak
523.2,526.5,Men om det är staten som driver det
526.799,528.7,och aktivt
529.1,534.0,Ni försöker utrota människor som anses vara genetiskt underlägsna
534.7,538.299,Nu kommer man kunna hitta någon som
538.7,541.399,Du kunde syn på det här
541.6,544.2,Just för att det är frivilligt
544.799,545.1,Och
545.399,546.5,Då skrev
546.7,548.299,Egentestning kunna bli
548.5,549.2,Även
550.399,552.899,En liknande fråga som man ser
553.299,556.2,Politik eller som man ser
556.399,559.799,Vegetarianism eller religion får
560.0,560.6,Nej
562.1,564.6,visst man kan diskutera det
565.0,571.0,Och man vill förhoppningsvis hitta en partner som har liknande syn på det som du har
571.299,576.299,men det är acceptabelt att både vara religiös och att inte vara religiös
576.5,581.6,Och det är socialt acceptabelt både att vara vegetarian och att äta kött
582.0,584.7,Och att i framtiden så skulle vi kunna vara
584.899,586.1,Det ser vara acceptabelt
586.399,589.6,både att testa sig och att vara öppen med det
589.899,592.899,men också att inte vilja berätta om det
