start_time_sec,end_time_sec,annotation
202.199,206.199,Och den här längden hur man ska ta hand om sjuka
206.5,208.199,andra som har problem i samhället
209.0,210.3,För
210.599,215.4,Om man fokuserar för mycket på det här när man är med i stora öppna effekts
216.199,218.8,Och inte lära ut det till sina barn och samma
219.0,220.199,Och som att barn kommer att
220.5,223.3,Upprepa den där mentaliteten
224.8,226.699,Det skulle inte bli så bra i längden
233.699,239.599,Jag tänker mig att det är bättre att fokusera på att hitta liksom
240.199,240.5,Ja
241.599,243.699,Sett att
244.599,246.199,Jobba med dessa
246.8,248.9,jobbade med dessa sjukdomar och
249.199,250.599,Det handlar om istället
250.8,252.199,För att jag
252.5,253.599,Det bästa laget
254.5,256.399,Istället för att skjuta undan och
260.6,262.1,Har du någon mer åsikt
302.3,303.3,Jo
304.5,305.399,Det kan
305.699,306.5,Det var svårt
306.8,309.3,Svårt att dra en gräns där
310.1,313.5,Jag kan se tillfällen eller lägen där det kan vara
314.0,317.3,Etiskt att prata om
318.5,321.199,kolla upp sina egna gener
321.899,322.5,Eh
322.699,324.699,också för att göra sitt barns liv bättre
326.1,327.399,Jag kan tycka att
327.699,329.399,Det beror lite på vad det handlar om
329.8,330.6,Så
331.399,333.0,Vad kan det skulle kunna
333.5,336.899,Har vi som undantag där det rör sig om väldigt svåra sjukdomar
337.899,341.699,Bara det liksom inte spiller över och blir en slags
344.199,349.5,Då ska man skala bort varenda brist på den andra
355.899,360.8,Exakt det blir jag vända mig mot Och sen kanske jag inte
361.8,364.199,Säger att man ska förbjuda det helt och hållet
364.899,370.1,Men det finns stora risker med det och han måste liksom föra ett samtal om saken
376.6,378.8,Har du någon åsikt
379.199,379.8,Ja precis
400.3,401.6,Precis um
402.899,405.399,Det skulle bli en ganska stelbent dejting
405.8,407.199,Då man blir som
408.3,409.6,Detta man gör inte
409.899,412.8, Det är att ses på
413.1,414.199,Hospice Jonas här
414.5,417.3,Utredningar för ens DNAstege
418.5,420.3,Ett sådant kan bli ganska
420.6,422.5,Kommer stygg liksom situation
426.899,428.0,Vad betyder då
428.899,429.699,För att
430.1,434.5,Det jag söker i en partner är liksom acceptans
435.199,436.899,Och empati
437.3,438.3,Och jag tror att
438.699,440.899,Människor som är mer empatiska
441.3,444.0,Kommer ha en större benägenhet att inte göra de här testen
445.199,446.0,Eh
447.1,448.399,Sen är det också så att jag har
449.1,452.399,Så vet jag vill jag ta en genomlagen och jättesvår sjukdom heller
453.5,459.1,Så för mig gäller det kanske mer de här lite mindre allvarliga tillstånden
460.199,461.0,Eh
463.1,467.3,Jag kan ändå ha viss förståelse
467.8,471.0,Vuxit upp med en mamma som inte vill liksom
471.8,473.8,av partner som råkar ut för samma sak
479.1,479.899,Exakt
485.699,486.5,Så
487.6,489.0,Min åsikt är väl att
490.0,492.399,Det kan tillåtas men
493.199,495.3,Det ska bara vara under vissa omständigheter
496.199,499.0,Och det får verkligen inte bli en norm
499.199,502.0,Som är ansträngd i samhället att tala bra
503.3,505.399,Jag tycker att det angränsar
506.5,507.8,Det är bra alls tänk liksom
508.5,509.5,Att bara
509.8,511.8,För dem av varandra efteråt
512.2,514.0,Vi riskerade ganska mycket
526.299,528.2,Lyckats sagt så
529.0,530.899,Det är liksom ingen sommar eller jag vill leva i
531.1,531.799,Samtidigt som man
532.2,533.7,ska hoppa av större klyftor
534.2,535.1,genom att
535.7,537.299,Eller vad någon annan borde haft det
538.0,538.6,Det ena
542.7,543.399,Det skulle ju
544.2,546.399,Möjligen också snappas upp
546.6,553.2,Materialistiska strömningar till exempel på dejtingappar kanske
554.2,558.7,Koppla sin DNAprofil till dejtingappen
558.899,562.2,Det vore ju ganska jävla mässigt ja
566.6,568.0,Och jag tycker det
569.299,576.1,Jag tycker att man ska jobba åt andra hållet för att hitta en större gemenskap och acceptera varandra
578.2,580.799,med generina och
581.2,582.1,In samma
586.2,591.5,Sen kan man ju såklart också fråga sin dejt om den har några liksom
592.299,594.0,Bakgrundens växterna
594.899,598.399,Vad kan vara fördelar och nackdelar med att göra de här testen
